SOP,Title,date
2004-01-4349,Pravilnik o varnosti in zdravju pri uporabi delovne opreme,17. 9. 2004
1991-03-0223,Zakon o zaposlovanju in zavarovanju za primer brezposelnosti (ZZZPB),8. 2. 1991
2001-01-0364,Pravilnik o varnosti in zdravju pri delu na ribiških ladjah,26. 1. 2001
2005-01-1399,Pravilnik o spremembah in dopolnitvah Pravilnika o varnosti in zdravju pri delu na ribiških ladjah,19. 4. 2005
2025-01-0360,Aneks št. 3 h Kolektivni pogodbi za poštne in kurirske dejavnosti,18. 2. 2025
2008-01-2896,"Aneks št. 3 h Kolektivni pogodbi za raziskovalno dejavnost (Uradni list RS, št. 45/92, 50/92, 5/93, 50/94, 45/96, 51/98, 73/98, 106/99, 107/00, 64/01, 84/01 in 85/01)",4. 7. 2008
2025-01-0559,Odredba o višini prispevkov za osebno dopolnilno delo,14. 3. 2025
2025-01-0440,Dodatek št. 19 h Kolektivni pogodbi za dejavnost elektroindustrije Slovenije,28. 2. 2025
1991-07-0297,Zakon o stavki (ZStk),5. 4. 1991
2010-01-4304,Zakon o urejanju trga dela (ZUTD),12. 10. 2010
2025-01-0606,"Razlage Aneksa k Posebnemu tarifnemu delu Kolektivne pogodbe za zdravnike in zobozdravnike v Republiki Sloveniji (Uradni list RS, št. 99/24)",21. 3. 2025
2025-01-0605,"Razlaga Kolektivne pogodbe za dejavnost zdravstva in socialnega varstva Slovenije glede določbe tretjega odstavka 29. člena KPZSV (Uradni list RS, št. 15/94) v povezavi s tretjo alinejo 4. točke 36. člena KPZSV (Uradni list RS, št. 15/94), ki se nanaša na pravico do strokovne priprave in pravico do letnega dopusta iz naslova odgovornosti za diagnostiko in terapijo, sprejete na 91. seji dne 20. 3. 2025",21. 3. 2025
2007-01-1283,Zakon o spremembah in dopolnitvah Zakona o sodelovanju delavcev pri upravljanju (ZSDU-B),23. 3. 2007
2007-01-2286,Zakon o sodelovanju delavcev pri upravljanju (uradno prečiščeno besedilo) (ZSDU-UPB1),15. 5. 2007
2008-01-3024,Aneks h Kolektivni pogodbi javnega zavoda RTV Slovenija,8. 7. 2008
2018-01-2312,Aneks št. 5 h Kolektivni pogodbi javnega zavoda RTV Slovenija in razlaga Aneksa št. 5 h Kolektivni pogodbi javnega zavoda RTV Slovenija,4. 7. 2018
2020-01-1870,Aneks št. 8 h Kolektivni pogodbi javnega zavoda RTV Slovenija,17. 7. 2020
2021-01-1851,Aneks št. 11 h Kolektivni pogodbi javnega zavoda RTV Slovenija,3. 6. 2021
2021-01-4226,Pristop h Kolektivni pogodbi JZ RTV Slovenija,29. 12. 2021
2025-01-1339,Uredba o spremembah in dopolnitvah Uredbe o delu plače za delovno uspešnost iz naslova prodaje blaga in storitev na trgu,9. 5. 2025
2025-01-0684,Aneks št. 4 h kolektivni pogodbi za poštne in kurirske dejavnosti,28. 3. 2025
2015-01-0176,Odpoved Kolektivne pogodbe za lesarstvo,30. 1. 2015
2007-01-3303,Pravilnik o pogojih za določitev bolezni zaradi izpostavljenosti azbestu in merilih za določitev višine odškodnine,10. 7. 2007
1999-01-4280,Pravilnik o zahtevah za zagotavljanje varnosti in zdravja delavcev na delovnih mestih,4. 11. 1999
2025-01-2488,Zakon o spremembah in dopolnitvah Zakona o urejanju trga dela (ZUTD-I),19. 9. 2025
2013-01-3448,Pravilnik o izboru in sofinanciranju programov javnih del,22. 11. 2013
2015-01-0175,Kolektivna pogodba za kovinsko industrijo Slovenije,30. 1. 2015
2017-01-0279,Dodatek št. 1 h Kolektivni pogodbi za kovinsko industrijo Slovenije,10. 2. 2017
2017-01-3107,Dodatek št. 2 h Kolektivni pogodbi za kovinsko industrijo Slovenije,24. 11. 2017
2018-01-4016,Dodatek št. 3 h Kolektivni pogodbi za kovinsko industrijo Slovenije,21. 12. 2018
2022-01-0252,Dodatek št. 4 h Kolektivni pogodbi za kovinsko industrijo Slovenije,4. 2. 2022
2022-01-1808,Dodatek št. 5 h Kolektivni pogodbi za kovinsko industrijo Slovenije,3. 6. 2022
2023-01-2810,Dodatek št. 6 h Kolektivni pogodbi za kovinsko industrijo Slovenije,29. 9. 2023
2019-01-1053,Pristop k Dodatku št. 3 h Kolektivni pogodbi za kovinsko industrijo Slovenije,12. 4. 2019
2004-01-0802,Razlaga in priporočilo kolektivne pogodbe med delavci in družbami drobnega gospodarstva,27. 2. 2004
2010-01-4958,Kolektivna pogodba med delavci in družbami drobnega gospodarstva (KPdg),26. 11. 2010
2002-01-0353,Ugotovitveni sklep,25. 1. 2002
2015-01-4336,Aneks h Kolektivni pogodbi za kulturne dejavnosti v Republiki Sloveniji,30. 12. 2015
2017-01-2249,Aneks h Kolektivni pogodbi za kulturne dejavnosti v Republiki Sloveniji,29. 8. 2017
2018-01-3875,Aneks h Kolektivni pogodbi za kulturne dejavnosti v Republiki Sloveniji,7. 12. 2018
2020-01-2798,Aneks h Kolektivni pogodbi za kulturne dejavnosti v Republiki Sloveniji,6. 11. 2020
2021-01-1844,Aneks h Kolektivni pogodbi za kulturne dejavnosti v Republiki Sloveniji,3. 6. 2021
2022-01-0795,Razlaga Kolektivne pogodbe za kulturne dejavnosti v Republiki Sloveniji (KPK),23. 3. 2022
2022-01-3320,Aneks h Kolektivni pogodbi za kulturne dejavnosti v Republiki Sloveniji,25. 10. 2022
1996-01-2583,Spremembe in dopolnitve kolektivne pogodbe za kulturne dejavnosti v Republiki Sloveniji,26. 7. 1996
1999-01-3921,Spremembe in dopolnitve kolektivne pogodbe za kulturne dejavnosti v Republiki Sloveniji,8. 10. 1999
2000-01-4283,Spremembe in dopolnitve kolektivne pogodbe za kulturne dejavnosti v Republiki Sloveniji,10. 11. 2000
2001-01-2816,Spremembe in dopolnitve kolektivne pogodbe za kulturne dejavnosti v Republiki Sloveniji,22. 6. 2001
2008-01-2580,Aneks h Kolektivni pogodbi za kulturne dejavnosti v Republiki Sloveniji,16. 6. 2008
2009-01-1440,Spremembe in dopolnitve Kolektivne pogodbe za kulturne dejavnosti v Republiki Sloveniji,24. 4. 2009
2009-01-1441,Aneks h Kolektivni pogodbi za kulturne dejavnosti v Republiki Sloveniji,24. 4. 2009
2013-01-1773,Aneks h Kolektivni pogodbi za kulturne dejavnosti v Republiki Sloveniji,29. 5. 2013
2010-01-0926,Razlaga Kolektivne pogodbe za kulturne dejavnosti v Republiki Sloveniji (KPK),19. 3. 2010
2010-01-0927,Razlaga kolektivne pogodbe za kulturne dejavnosti v Republiki Sloveniji,19. 3. 2010
2012-01-2136,Razlaga Kolektivne pogodbe za kulturne dejavnosti v Republiki Sloveniji (KPK),6. 7. 2012
2017-01-2028,Pristop h Kolektivni pogodbi za kulturne dejavnosti v Republiki Sloveniji,21. 7. 2017
2023-01-1263,Pristop k že sklenjeni Kolektivni pogodbi za kulturne dejavnosti v Republiki Sloveniji in vsem njenim aneksom,14. 4. 2023
2015-01-0561,Aneks k tarifni prilogi h Kolektivni pogodbi za dejavnosti pridobivanja in predelave nekovinskih rudnin Slovenije,6. 3. 2015
2013-01-2080,Kolektivna pogodba za dejavnosti pridobivanja in predelave nekovinskih rudnin Slovenije,28. 6. 2013
2017-01-2703,Kolektivna pogodba za lesarstvo,20. 10. 2017
2025-01-1305,Aneks številka 3 h Kolektivni pogodbi za cestni potniški promet Slovenije,9. 5. 2025
2017-01-2089,Kolektivna pogodba elektrogospodarstva Slovenije,28. 7. 2017
2019-01-1456,Kolektivna pogodba premogovništva Slovenije,17. 5. 2019
2014-01-4072,Zakon o spremembah in dopolnitvah Zakona o matični evidenci zavarovancev in uživalcev pravic iz obveznega pokojninskega in invalidskega zavarovanja (ZMEPIZ-1A),30. 12. 2014
2013-01-4125,Zakon o matični evidenci zavarovancev in uživalcev pravic iz obveznega pokojninskega in invalidskega zavarovanja (ZMEPIZ-1),27. 12. 2013
2025-01-1367,"Razlage Kolektivne pogodbe za zaposlene v zdravstveni negi, sprejete na 43. seji dne 11. 4. 2025",16. 5. 2025
2025-01-1364,"Razlaga Aneksa h Kolektivni pogodbi zdravstva in socialnega varstva Slovenije (Uradni list RS, št. 165/22) glede 12. člena, ki se nanaša na kriterije za zasedbo delovnega mesta laboratorijski tehnik s posebnimi znanji, sprejeti na 87. seji dne 13. 10. 2023",16. 5. 2025
2025-01-1363,"Razlaga Kolektivne pogodbe zdravstva in socialnega varstva Slovenije glede 115. člena, ki se nanaša na plačo sindikalnega zaupnika, sprejete na 91. seji dne 20. 3. 2025",16. 5. 2025
2025-01-1365,"Razlaga Aneksa h Kolektivni pogodbi zdravstva in socialnega varstva Slovenije (Uradni list RS, št. 99/24 s popravki) glede 16. člena, ki se nanaša na kriterije za razvrščanje na stopnjevana delovna mesta klinični psiholog specialist, in glede 17. člena, ki se nanaša na kriterije za razvrščanje na delovno mesto višji klinični psiholog specialist, sprejete na 91. seji dne 20. 3. 2025",16. 5. 2025
2025-01-1366,"Razlaga Aneksa h Kolektivni pogodbi zdravstva in socialnega varstva Slovenije (Uradni list RS, št. 99/24 s popravki) glede 14. člena, ki se nanaša na kriterije za razvrščanje na stopnjevana delovna mesta specialist klinične logopedije, in glede 15. člena, ki se nanaša na kriterije za razvrščanje na delovno mesto višji specialist klinične logopedije, sprejete na 91. seji dne 20. 3. 2025",16. 5. 2025
2025-01-1425,"Razlage Aneksa k Posebnemu tarifnemu delu Kolektivne pogodbe za zdravnike in zobozdravnike v Republiki Sloveniji (Uradni list RS, št. 99/24)",23. 5. 2025
2025-01-1426,"Razlage Aneksa k Posebnemu tarifnemu delu Kolektivne pogodbe za zdravnike in zobozdravnike v Republiki Sloveniji (Uradni list RS, št. 16/17)",23. 5. 2025
2001-01-1489,"Aneks, št. 1 k tarifni prilogi h kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",5. 4. 2001
2004-01-4827,"Tarifna priloga h kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti Slovenije",29. 10. 2004
2005-01-3539,"Aneks št. 1 k tarifni prilogi h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",26. 8. 2005
2006-01-4075,"Aneks št. 2 k tarifni prilogi h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",12. 9. 2006
2006-01-5043,"Aneks št. 3 h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",17. 11. 2006
2007-01-0458,"Aneks št. 4 k Tarifni prilogi h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",6. 2. 2007
2007-01-4621,"Aneks št. 5 k Tarifni prilogi h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",12. 10. 2007
2008-01-1434,"Aneks št. 6 k Tarifni prilogi h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",9. 4. 2008
2008-01-4118,"Aneks št. 7 k Tarifni prilogi h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",10. 10. 2008
2010-01-0270,"Aneks št. 8 k Tarifni prilogi h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",5. 2. 2010
2011-01-2537,"Aneks št. 9 k Tarifni prilogi h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",8. 7. 2011
2012-01-0668,"Aneks h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",5. 3. 2012
2012-01-0669,"Aneks št. 10 k Tarifni prilogi h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",5. 3. 2012
2016-01-3587,"Aneks št. 12 k Tarifni prilogi h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",23. 12. 2016
2018-01-2834,"Aneks št. 13 k Tarifni prilogi h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",24. 8. 2018
2020-01-3036,"Aneks h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",27. 11. 2020
2021-01-2237,"Aneks št. 15 k Tarifni prilogi h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",2. 7. 2021
2022-01-2553,"Aneks št. 16 k Tarifni prilogi h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",29. 7. 2022
2023-01-1710,"Aneks h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",19. 5. 2023
2023-01-1711,"Aneks št. 17 k Tarifni prilogi h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",19. 5. 2023
2004-01-1453,"Razlaga kolektivne pogodbe časopisnoinformativne, založniške in knjigotrške dejavnosti",6. 4. 2004
2017-01-1869,Razlaga Kolektivne pogodbe za kmetijstvo in živilsko industrijo Slovenije,7. 7. 2017
2008-01-2579,"Aneks h Kolektivni pogodbi za dejavnost vzgoje in izobraževanja v Republiki Sloveniji (Uradni list RS, št. 52/94, 49/95, 34/96, 45/96, 51/98, 28/99, 39/00, 56/01, 64/01, 78/01 in 56/02)",16. 6. 2008
2008-01-2165,Pravilnik o dodeljevanju Zoisovih štipendij,23. 5. 2008
2009-01-2267,Pravilnik o spremembah in dopolnitvah Pravilnika o dodeljevanju Zoisovih štipendij,15. 6. 2009
2016-01-2870,Kolektivna pogodba za dejavnost poslovanja z nepremičninami,28. 10. 2016
2018-01-1570,Pristop h Kolektivni pogodbi za dejavnost poslovanja z nepremičninami,18. 5. 2018
2016-01-2168,Uredba o varovanju delavcev pred tveganji zaradi izpostavljenosti elektromagnetnim sevanjem,8. 7. 2016
2025-01-2017,"Odredba o spremembi Odredbe o določitvi poklicev, v katerih zaposlitev tujca nivezana na trg dela",30. 6. 2025
2014-01-3964,Aneks h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,29. 12. 2014
2015-01-3608,Aneks h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,30. 11. 2015
2013-01-1766,Aneks h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,29. 5. 2013
2000-01-0141,Ugotovitveni sklep,14. 1. 2000
1992-01-2360,Stališča komisije za razlago kolektivne pogodbe,23. 10. 1992
2001-01-0486,Ugotovitveni sklep,2. 2. 2001
2016-01-2124,Razlaga Aneksa h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,8. 7. 2016
2016-01-3937,Aneks h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,30. 12. 2016
2017-01-1865,Razlaga Aneksa h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji (v nadaljnjem besedilu: aneks h KPND),7. 7. 2017
2017-01-1866,Razlaga Aneksa h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji (v nadaljnjem besedilu: Aneks h KPND),7. 7. 2017
2019-01-0240,Razlaga Aneksa h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji (v nadaljnjem besedilu: aneks h KPND),1. 2. 2019
2019-01-1435,Aneks h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,16. 5. 2019
2020-01-1260,Razlaga Aneksa h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,5. 6. 2020
2020-01-1828,Aneks h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,10. 7. 2020
2021-01-1850,Aneks h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,3. 6. 2021
2021-01-3374,Razlaga Aneksa h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,29. 10. 2021
2022-01-1278,Razlaga Aneksa h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,29. 4. 2022
2022-01-3306,Aneks h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,25. 10. 2022
2024-01-0304,Aneks h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,9. 2. 2024
1992-01-2452,Kolektivna pogodba za negospodarske dejavnosti v Republiki Sloveniji,6. 11. 1992
1993-01-1437,Kolektivna pogodba za negospodarske dejavnosti,24. 6. 1993
1994-01-0472,"Aneks h kolektivni pogodbi za negospodarske dejavnosti (Uradni list RS, št. 34/93)",4. 3. 1994
1994-01-1139,"Aneks h kolektivni pogodbi za negospodarske dejavnosti (Uradni list RS, št. 34/93)",20. 5. 1994
1994-01-2075,Aneks h kolektivni pogodbi za negospodarske dejavnosti,30. 9. 1994
1994-01-2910,Aneks h kolektivni pogodbi za negospodarske dejavnosti,23. 12. 1994
1995-01-2960,"Aneks h kolektivni pogodbi za negospodarske dejavnosti (Uradni list RS, št. 34/93)",10. 11. 1995
1997-01-1135,Ugotovitveni sklep izhodiščne plače za prvi tarifni razred,4. 4. 1997
1997-01-2116,Aneks h kolektivni pogodbi za negospodarske dejavnosti,20. 6. 1997
1998-01-0150,Spremembe in dopolnitve kolektivne pogodbe za negospodarske dejavnosti v Republiki Sloveniji,17. 1. 1998
1998-01-0151,Aneks h kolektivni pogodbi za negospodarske dejavnosti,17. 1. 1998
1999-01-1976,Aneks h kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,25. 5. 1999
2001-01-4874,Aneks h kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,7. 12. 2001
2003-01-3577,Aneks h kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,29. 7. 2003
2005-01-5096,Aneks h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,20. 12. 2005
2007-01-3625,Aneks h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,20. 7. 2007
2018-01-3867,Aneks h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,7. 12. 2018
1997-01-0090,Ugotovitveni sklep izhodiščnih plač za prvi tarifni razred,10. 1. 1997
1999-01-2836,Ugotovitveni sklep za določitev dnevnic za službeno potovanje v državi,23. 7. 1999
2000-01-3194,Razlaga kolektivne pogodbe za negospodarske dejavnosti v Republiki Sloveniji,28. 7. 2000
2000-01-3727,Razlaga kolektivne pogodbe za negospodarske dejavnosti v Republiki Sloveniji (KPnd),15. 9. 2000
2000-01-4863,"Ugotovitveni sklep o izhodiščni plači za prvi tarifni razred (količnik 1,00) za negospodarske dejavnosti",15. 12. 2000
2001-01-0487,Ugotovitveni sklep,2. 2. 2001
2001-01-1375,Razlaga kolektivne pogodbe za negospodarske dejavnosti v Republiki Sloveniji,30. 3. 2001
2001-01-2441,Razlaga kolektivne pogodbe za negospodarske dejavnosti v Republiki Sloveniji (KPnd),31. 5. 2001
2001-01-2442,Razlaga kolektivne pogodbe za negospodarske dejavnosti v Republiki Sloveniji (KPnd),31. 5. 2001
2001-01-2443,Razlaga kolektivne pogodbe za negospodarske dejavnosti v Republiki Sloveniji (KPnd),31. 5. 2001
2001-01-2444,Razlaga kolektivne pogodbe za negospodarske dejavnosti v Republiki Sloveniji (KPnd),31. 5. 2001
2002-01-0427,Ugotovitveni sklep,4. 2. 2002
2002-01-0830,Razlaga kolektivne pogodbe za negospodarske dejavnosti v Republiki Sloveniji (KPnd),1. 3. 2002
2002-01-0831,Razlaga kolektivne pogodbe za negospodarske dejavnosti v Republiki Sloveniji (KPnd),1. 3. 2002
2002-01-0832,Razlaga kolektivne pogodbe za negospodarske dejavnosti v Republiki Sloveniji (KPnd),1. 3. 2002
2002-01-3287,Ugotovitveni sklep o višini dnevnice za službena potovanja v državi,2. 8. 2002
2003-01-0285,Ugotovitveni sklep o izhodiščni plači za prvi tarifni razred,24. 1. 2003
2003-01-0286,Ugotovitveni sklep za regres za letni dopust za leto 2003,24. 1. 2003
2003-01-0287,Ugotovitveni sklep za dnevnice za službeno potovanje v državi,24. 1. 2003
2013-01-3891,Razlaga Aneksa h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji (KPND),20. 12. 2013
2020-01-0846,Pristop k Aneksu h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,24. 4. 2020
2020-01-0847,Pristop k Aneksu h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,24. 4. 2020
2023-01-1142,"Zakon o spremembah in dopolnitvah Zakona o zaposlovanju, samozaposlovanju in delu tujcev (ZZSDT-D)",7. 4. 2023
2025-01-1676,Dodatek št. 20 h Kolektivni pogodbi za dejavnost elektroindustrije Slovenije,13. 6. 2025
2001-01-5230,Razlaga kolektivne pogodbe med delavci in družbami drobnega gospodarstva,27. 12. 2001
2017-01-2772,"Zakon o spremembah in dopolnitvah Zakona o zaposlovanju, samozaposlovanju in delu tujcev (ZZSDT-A)",27. 10. 2017
2025-01-1918,Aneks št. 8 h Kolektivni pogodbi elektrogospodarstva Slovenije,27. 6. 2025
2025-01-1919,Aneks št. 10 h Kolektivni pogodbi za papirno in papirno-predelovalno dejavnost,27. 6. 2025
2025-01-1920,Dodatek št. 9 h Kolektivni pogodbi za dejavnost kovinskih materialov in livarn Slovenije,27. 6. 2025
2024-01-0819,Uredba o spremembah in dopolnitvah Uredbe o plačah in drugih prejemkih javnih uslužbencev za delo v tujini,29. 3. 2024
2025-01-2379,Pravilnik o spremembah Pravilnika o opravljanju strokovnega izpita iz varnosti in zdravja pri delu,22. 8. 2025
2025-01-2149,Pravilnik o dopolnitvah Pravilnika o zahtevah za zagotavljanje varnosti in zdravja delavcev na delovnih mestih,11. 7. 2025
2025-01-2046,"Kolektivna pogodba za tekstilne, oblačilne, usnjarske in usnjarsko-predelovalne dejavnosti Slovenije (KPtoupd)",4. 7. 2025
2026-01-0092,Pravilnik o varovanju delavcev pred tveganji zaradi izpostavljenosti azbestu pri delu,16. 1. 2026
2017-01-0106,Pristop h Kolektivni pogodbi za zdravnike in zobozdravnike v Republiki Sloveniji,20. 1. 2017
2021-01-1154,"Zakon o spremembah in dopolnitvah Zakona o zaposlovanju, samozaposlovanju in delu tujcev (ZZSDT-C)",12. 4. 2021
2011-01-0819,Zakon o socialnem podjetništvu (ZSocP),18. 3. 2011
2014-01-1914,Zakon o spremembah Zakona o subvencioniranju študentske prehrane (ZSŠP-C),23. 6. 2014
2019-01-3499,Uredba o dopolnitvah Uredbe o plačah in drugih prejemkih javnih uslužbencev za delo v tujini,20. 12. 2019
1969-07-0289,"Zakon o dopolnitvi zakona o delovnih mestih, na katerih se zavarovalna doba šteje s povečanjem",8. 5. 1969
1971-07-0354,"Zakon spremembah in dopolnitvah zakona o delovnih mestih, na katerih se zavarovalna doba šteje s povečanjem",8. 7. 1971
1999-01-4968,Spremembe in dopolnitve kolektivne pogodbe za raziskovalno dejavnost,23. 12. 1999
2017-01-3738,Kolektivna pogodba grafične dejavnosti,27. 12. 2017
2025-01-2954,Zakon o dopolnitvi Zakona o spremembah in dopolnitvah Zakona o urejanju trga dela (ZUTD-J),28. 10. 2025
1993-01-0158,Dopolnitev kolektivne pogodbe za raziskovalno dejavnost,22. 1. 1993
1998-01-2322,Spremembe in dopolnitve kolektivne pogodbe za raziskovalno dejavnost,17. 7. 1998
2014-01-3249,Kolektivna pogodba za dejavnost kovinskih materialov in livarn Slovenije,30. 10. 2014
1995-01-2660,Aneks h kolektivni pogodbi za dejavnost zdravstva in socialnega varstva Slovenije,6. 10. 1995
1996-01-1140,Spremembe in dopolnitve kolektivne pogodbe za dejavnost zdravstva in socialnega varstva Slovenije,5. 4. 1996
1998-01-3839,Aneks h kolektivni pogodbi za dejavnost zdravstva in socialnega varstva Slovenije,6. 11. 1998
2008-01-2582,"Aneks h Kolektivni pogodbi za dejavnost zdravstva in socialnega varstva Slovenije (Uradni list RS, št. 15/94, 57/95, 19/96, 56/98, 76/98, 102/00 in 62/01)",16. 6. 2008
2025-01-2809,Pravilnik o spremembah Pravilnika za opravljanje dejavnosti zagotavljanja dela delavcev uporabniku,17. 10. 2025
2008-01-3928,Pravilnik o spremembah in dopolnitvah Pravilnika o pogojih za določitev bolezni zaradi izpostavljenosti azbestu in merilih za določitev višine odškodnine,30. 9. 2008
2018-01-3538,Aneks št. 3 h Kolektivni pogodbi za poklicne novinarje (KPPN),16. 11. 2018
2021-01-2010,Aneks št. 6 h Kolektivni pogodbi za poklicne novinarje,11. 6. 2021
2023-01-1077,Aneks št. 7 h Kolektivni pogodbi za poklicne novinarje,31. 3. 2023
2008-01-2584,"Aneks h Kolektivni pogodbi za poklicne novinarje (Uradni list RS, št. 31/91)",16. 6. 2008
2014-01-1177,Aneks št. 2 h Kolektivni pogodbi za poklicne novinarje,18. 4. 2014
2019-01-0035,Aneks št. 4 h Kolektivni pogodbi za poklicne novinarje,11. 1. 2019
2020-01-1872,Aneks št. 5 h Kolektivni pogodbi za poklicne novinarje,17. 7. 2020
2005-01-4368,Razlage h kolektivni pogodbi za poklicne novinarje,10. 11. 2005
2000-01-3627,"Aneks h kolektivni pogodbi celulozne, papirne in papirno predelovalne dejavnosti",1. 9. 2000
2004-01-1454,"Razlaga kolektivne pogodbe celulozne, papirne in papirno predelovalne dejavnosti",6. 4. 2004
2004-01-4354,"Tarifna priloga h Kolektivni pogodbi celulozne, papirne in papirno-predelovalne dejavnosti",17. 9. 2004
2006-01-3943,"Aneks št. 2 k tarifni prilogi h Kolektivni pogodbi celulozne, papirne in papirno-predelovalne dejavnosti (Uradni list RS, št. 101/04, 79/05)",28. 8. 2006
2007-01-0460,"Aneks št. 3 k Tarifni prilogi h Kolektivni pogodbi celulozne, papirne in papirno-predelovalne dejavnosti",6. 2. 2007
2008-01-0504,"Aneks št. 5 k Tarifni prilogi h Kolektivni pogodbi celulozne, papirne in papirno predelovalne dejavnosti",15. 2. 2008
2008-01-3704,"Aneks št. 6 k Tarifni prilogi h Kolektivni pogodbi celulozne, papirne in papirno predelovalne dejavnosti",29. 8. 2008
2008-01-4143,"Odpoved Kolektivne pogodbe celulozne, papirne in papirno predelovalne dejavnosti",10. 10. 2008
2002-01-1796,"Aneks št. 1 k tarifni prilogi kolektivne pogodbe celulozne, papirne in papirno predelovalne dejavnosti",26. 4. 2002
2007-01-4310,"Aneks št. 4 k Tarifni prilogi h Kolektivni pogodbi celulozne, papirne in papirno predelovalne dejavnosti",24. 9. 2007
2017-01-2246,Aneks h Kolektivni pogodbi za zaposlene v zdravstveni negi,29. 8. 2017
2017-01-2794,"Razlage Kolektivne pogodbe za zaposlene v zdravstveni negi, sprejete na 31. seji dne 10. 10. 2017",27. 10. 2017
2018-01-3871,Aneks h Kolektivni pogodbi za zaposlene v zdravstveni negi,7. 12. 2018
2019-01-0619,"Razlaga Kolektivne pogodbe za zaposlene v zdravstveni negi, sprejeta na 33. seji dne 11. 3. 2019",15. 3. 2019
2019-01-2577,"Razlaga Kolektivne pogodbe za zaposlene v zdravstveni negi, sprejeta na 36. seji dne 11. 9. 2019",27. 9. 2019
2020-01-0848,Razlaga Kolektivne pogodbe za zaposlene v zdravstveni negi,24. 4. 2020
2020-01-1167,"Razlaga Kolektivne pogodbe za zaposlene v zdravstveni negi, sprejeta na 38. seji dne 26. 5. 2020",29. 5. 2020
2020-01-2795,Aneks h Kolektivni pogodbi za zaposlene v zdravstveni negi,6. 11. 2020
2021-01-1845,Aneks h Kolektivni pogodbi za zaposlene v zdravstveni negi,3. 6. 2021
2022-01-1861,"Razlage Kolektivne pogodbe za zaposlene v zdravstveni negi, sprejete na 41. seji dne 24. 5. 2022",10. 6. 2022
2022-01-4239,Aneks h Kolektivni pogodbi za zaposlene v zdravstveni negi,29. 12. 2022
1998-01-3639,Aneks h kolektivni pogodbi za zaposlene v zdravstveni negi,30. 10. 1998
1999-01-3041,Aneks h kolektivni pogodbi za zaposlene v zdravstveni negi,6. 8. 1999
2000-01-3435,Aneks h kolektivni pogodbi za zaposlene v zdravstveni negi,19. 8. 2000
2008-01-2581,"Aneks h Kolektivni pogodbi za zaposlene v zdravstveni negi (Uradni list RS, št. 60/98, 73/98, 39/99, 63/99 in 73/00)",16. 6. 2008
